name,value
26TH MILE,2012
3RD MILE,2150
ADICHIRA,1957
ADIMALI,1859
ADIVARAM,271
ADKATHBAIL,925
ADOOR,1
ALAPPUZHA,2
ALATHIYUR,1584
ALATHOOR,252
ALTHARA,523
ALUVA,3
ALUVA BYPASS JN,268
AMBALAMKUNNU,648
AMBALAPUZHA,5
AMBALLOOR,208
AMRUTHA HOSPITAL,178
ANCHAL,269
ANJARAKANDY,2054
ANKAMALY,7
ANTHIKKAD,546
ANTHRASANTHE,1469
AROOKUTTY,299
AROOR,342
ARTHUNKAL,475
ARUVIPPURAM,179
ARYANAD,9
ATHANI,257
ATHIYANOOR,618
ATTINGAL,12
AYIROOPPARA,288
AYOOR,212
BALARAMAPURAM,362
BAVELY,1179
BENGALURU,14
CHADAYAMANGALAM,16
CHAKKULATHUKAVU,17
CHALAKKUDI,18
CHALODE,1908
CHANGANASSERY,19
CHANGARAMKULAM,498
CHAPATH,898
CHATHANNUR JN,20
CHAVAKKAD,412
CHEEKALKADAVU,291
CHEEYAMPARA,441
CHELAKKARA,508
CHENGANNUR,21
CHEPPAD,769
CHERTHALA,22
CHERUKOLPUZHA,180
CHERUTHONI,221
CHERUVANNOOR,1347
CHERUVATHOOR STN RD,423
CHINGAVANAM,254
CHINNAKADA,388
CHITOOR,23
CHITOOR BS,1619
CHUNDA,1256
CIVIL STATION KALPETTA,600
COIMBATORE,24
DHARMASALA,453
DINDIGAL,273
EDAKOCHI,839
EDAPAL JN,197
EDAPPALLY,356
ELAPPARA,576
ENATH,214
ERAMALLUR,223
ERAVIPEROOR,1336
ERNAKULAM,28
ERODE,30
ERUMELY,31
ETTUMANOOR,211
FARMERS BANK,1018
FOUNDATION,2115
GONIKOPPA,645
GOPALAPURAM,894
GOVINDAPURAM,1216
GUDALLOOR,33
GUNDALPET,34
GURUVAYOOR,35
HAMPAPURA,1472
HARIPPAD,36
HD KOTTA,1470
HOSSUR,37
HUNSUR,721
IDUKKI,610
IRITTY,39
IRUMBUPALAM,1349
KADAKKAL,649
KADALUNDIKADAVU,219
KADAMPANADE,1167
KADAPPAKKADA,972
KADAVALLOOR,1355
KADIRUR,1296
KADUTHURUTHY,1011
KADUVANKULANGARA,1158
KAINAKARI,1963
KAKKAD,370
KALADY,249
KALAMASSERY,397
KALARKODE,858
KALAVOOR,694
KALAYAPURAM,764
KALIYIKKAVILA,40
KALLAMBALAM,283
KALLAR,693
KALLARKUTTY,1667
KALLUKOOTTIYAL,1450
KALPETTA,41
KAMBAM,281
KAMBILIKAND,1098
KANHANGAD,237
KANICHUKULANGARA,670
KANIYAPURAM,43
KANJANGADU,1121
KANJANI,316
KANJAR,617
KANJIKUZHY,366
KANJIRAPPALLY,204
KANNUR,44
KANYAKUMARI,45
KANYAPADY,727
KAPPITHANS,1402
KARAKKAD,946
KARAMANA,746
KARAVALUR,392
KARETTE,438
KARINKAL,569
KARMAMTHODI,220
KARUKACHAL,679
KARUNAGAPALLY,47
KARUNAGAPALLY HOSPITAL JN,577
KARYAVATTOM JN,690
KASARAGOD,48
KATTAKKADA,49
KATTAPPANA,50
KATTIKULAM,709
KAVANAD,401
KAYAMKULAM,51
KAZHAKUTTOM,345
KEEZHILLAM,1446
KEEZHPALLY,183
KENGERI,1195
KERALA AUTO MOBILES,314
KESAVADASAPURAM,1339
KG CHAVADY,2126
KIDANGARA,202
KILIMANOOR,52
KINASSERY,1442
KOCHI,1258
KODAIROAD,1198
KODAKARA,248
KODUMBU,1451
KODUNGALOOR,54
KODUNGOOR,1382
KODUVAYUR,418
KOILANDY,680
KOLAKKALA,1471
KOLLAM,55
KOLLENGODE,799
KOLLUR MOOKAMBIKA,56
KONNI,566
KOODAL,712
KOORIYAD,1436
KOOTHATTUKULAM,209
KOOTHUPARAMBA,260
KOOTTUPUZHA,1184
KOOTUPATHA,1582
KOPPALAM,1453
KORATTY,258
KOTHAMANGALAM,57
KOTTAKKAL,242
KOTTAPADI,541
KOTTAR,1418
KOTTARAKARA TEMPLE,1571
KOTTARAKKARA,58
KOTTAYAM,59
KOTTIYAM,282
KOYILANDY,503
KOZHENCHERY,279
KOZHICHENA,1148
KOZHIKKODE,63
KOZHINJAMPARA,184
KUILIMALA,1059
KULAKKAVU,1648
KULAMAVU,989
KULATHUPUZHA,64
KUMALY,65
KUMARANELLOOR,674
KUMBALAM,1843
KUMBLA,226
KUMILY,913
KUMMIL,1573
KUNDANNUR,914
KUNDARA,284
KUNDUKADAVU JN,1460
KUNISSERY,1218
KUNNAMKULAM,240
KUNNUMKULAM,1003
KURAVILANGAD,210
KURINJI,1295
KURIYAD,996
KURIYANAD,571
KURUPPAMPADY,806
KURUVILANGAD,1186
KUTHATTUKULAM,687
KUTHUPARAMBA,1128
KUTTIADY,445
KUTTIKANAM,446
KUTTIPPURAM,241
KUTUPUZHA,1182
KUZHALMANNAM,253
KUZHITHURAI,1482
LAHA,1310
MACHIPLAV,1554
MACHUR,1467
MADAPPEEDIKA,745
MADATHARA,225
MADAVANA,1268
MADAVOORPARA,318
MADUKKARAI,2127
MADURAI,67
MAHE,511
MAKKIYAD,609
MAKKOOTTAM,1458
MALAKALLU,1188
MALAPPURAM,70
MANANTHAVADY,73
MANARKADU,758
MANDIA,76
MANGAD,1379
MANGALAPURAM,346
MANGALORE,77
MANJAPARA,586
MANJERI,464
MANNADY,1178
MANNANTHALA,1092
MANNARAKULANJI,1176
MANNARKKAD,351
MANNARKULANJI,926
MANNOOR,1374
MANNUTHY,251
MARTHANDAM,79
MARTHANDOM,863
MATHILAKAM,371
MATTANNUR,80
MATTANNUR COURT,849
MATTUKATTA,1627
MATTUPETTY,81
MEDICAL COLLEGE,572
MEENAMGADI,329
MEENCHANTHA,842
MOKERI,1464
MONCOMBU,662
MONDAYMARKET,1110
MONIPPALLY,413
MOOLAMATTOM,83
MOOTHAKUNNAM,265
MOOVATTUPUZHA,89
MUDAPPALLOOR,2116
MULAVANA,1210
MUNDAKAYAM,87
MUNNAR,84
MURINGOOR JN,255
MURINJAPUZHA,854
MUTTOM,604
MUVATTUPUZHA,686
MUZHIYAR,1173
MYSORE,90
NADAKKAVU,555
NADAPURAM,455
NAGAPATANAM,276
NAGARCOVIL,91
NAGIARKULANGARA,367
NALANCHIRA,692
NALLAMKANDY,1252
NANGIARKULANGARA,465
NANJAMCODE,647
NATTUKAL,540
NEDIYAVANCODE,1032
NEDUMANGAD,92
NEDUMBASSERY/ATHANI,1415
NEDUMKANDAM,93
NEDUMUDY,783
NEELESWARAM,422
NELLIMATTOM,1033
NELLIMOODU,845
NEMOM,558
NENMARA,372
NERIYAMANGALAM,516
NEYYAR DAM,95
NEYYATTINKARA,96
NIDUMPOYIL,848
NILAKAL,1342
NILAMBOOR,97
NILAMEL,381
NIMS ,2022
NIRAVILPUZHA,1079
NIRMALA CITY,856
NOOLPUZHA,1205
NORTH VAZHAKULAM,1670
NORTHPARAVOOR,98
OCHIRA,99
ODAKKALI,1014
ODAYANCHAL,735
ODDANCHATHRAM,1197
OOTY,100
PAINAVU,601
PAKRANTHALAM,1466
PALABS,101
PALACHIRA,407
PALAKKAD,102
PALAKKUNNU,1030
PALAMOOD,335
PALANI,104
PALAPETTY,524
PALAVAYAL,1459
PALLASSENA,190
PALLATHURUTHY,1134
PALLICKAL,440
PALLIKKUNNU,847
PALLIKUTUMA,1135
PALLIMUKKU,1665
PALLIMUKKU KLM,841
PALODE,105
PAMBA,106
PAMBADUMPARA,1398
PAMPADI,965
PANAKKAPALA,1986
PANAMARAM,272
PANATHADY,1189
PANATHUR,1005
PANAVELI,1289
PANDALAM,107
PANDALAMPADAM,2114
PANDIKKAD,403
PANIKKANKUDY,1646
PANOOR,270
PAPPANAMCODE,108
PARAPPANANGADI,527
PARASSALA,109
PARASSINIKADAV,110
PARAVOOR,429
PARAYAKADAV,191
PARAYIL JN,409
PARIPPALLY,323
PARIYARAM,444
PATHANAMTHITTA,112
PATHANAPURAM,113
PATHAYAKKUNNU,1454
PATHIRAPALA,1010
PATTAMBI,217
PATTIKKAD,899
PATTOM,338
PAYIPRA,980
PAYYANNUR,115
PAYYOLI,547
PAZHASSI JN,1456
PAZHASSI ROAD,1461
PAZHAVEEDU,2070
PENGAMUKKU,117
PERINGATHUR,1462
PERINTHALMANNA,119
PERUMBAVOOR,121
PERUMPILAVU,934
PERUNADU,1115
PERUVANTHANAM,1235
PEZHAKKAPILLY,959
PHARMACY,1632
PILANKATTA,1447
PIRAPPANCODE,515
PLAMOOD PATTOM,492
PLAPALLY,1152
PODIYADI,556
POINACHI,505
POLLACHI,123
PONGA,1762
PONKUNNAM,124
PONNAMVELY,463
PONNANI,126
POOCHAKKAL,672
POOKKAD,1174
POOKKODE,1246
POOTHAMPARA,1465
POOYAPPALLY,548
POREDAM,1056
PUDUSSERY,1479
PULIYANMALA,1399
PULLUVAZHI,1444
PUNALUR,129
PUTHENCRUZ,717
PUTHIYATHURA,365
